Id,Value
1,-0.040698275
6,0.5020549
9,0.5075845999999999
12,0.49079907
13,28.487834999999997
15,-0.007519894300000001
26,1.9001646
29,-0.012005628999999999
37,-0.00998676
40,0.030601084
49,40.998965999999996
50,0.06880765400000001
51,0.49208632
54,-0.023803743999999998
73,-0.009379424
75,0.0031136609999999998
76,-0.67859375
82,47.300537
84,-0.013429385
85,0.06817025
87,0.5056995
90,-0.046361982999999996
97,0.18735631
98,0.50439656
102,0.4889308
110,-0.28087395
113,-0.11030256
115,0.004110817
118,-0.0012128726
120,0.49916315
128,-0.015239728999999999
129,0.08775063599999999
134,41.50486
137,-0.006367564
141,0.5163833
146,0.4957148
157,0.50252473
163,0.51017886
165,-0.24673633
173,-0.026988022
178,-0.15675202
182,0.03598896
184,0.502356
185,-0.030952875
186,-0.25695002
189,-0.0065022840000000005
198,0.11660778
209,-0.019537365
210,-0.0036164903999999997
211,-0.30695665
224,-0.023873124
227,31.849597999999997
230,-0.27816907
233,0.48388535
235,-0.23214099
236,-0.25207415
246,0.49726456
249,0.49646294
250,-0.01860232
260,-0.16464418
262,-0.031157637000000002
263,0.06262201
282,-0.014182931999999999
292,46.49315
295,-0.038490094
296,0.5164305
297,0.49631453
305,0.5110375
308,0.49864024
310,0.49450326
319,0.50968015
322,-0.06870207
324,0.48221916
327,-0.07032018
330,-0.010285417
332,-0.018339748
337,37.87021
338,0.49763909999999995
340,-0.011274673999999998
344,0.07243766
346,0.5026224
348,-0.27574354
352,0.5006899
360,0.51850384
365,0.50187147
367,-0.02432561
368,0.50676733
371,-0.03826735
378,-0.015043756
380,-0.006684493299999999
387,34.58866
395,0.5100645
397,0.49981220000000004
399,0.49484047
403,-0.024904963999999998
404,2.1080136
407,-0.04557974
424,-0.25147876
429,0.49418625
430,-0.019450426
431,0.48784858
435,0.4855457
438,-0.013380538999999999
439,31.876765999999996
441,-0.01309767
447,0.003939597
451,-0.020508222
452,-0.0040092524
458,-0.22757584
462,0.5028800999999999
473,-0.03143523
474,0.49701613
478,0.50004226
483,0.50495654
490,-0.026818149
493,-0.004069452
502,0.5012038
507,-0.020887017
510,34.594646000000004
511,-0.0039624143
518,-0.046832874000000004
522,0.49300978
527,0.5120387
530,0.05552921
550,-0.27346987
555,0.49776828
556,-0.009328513
559,0.48769295
568,0.49995404
570,-0.080704235
575,0.48565119999999995
581,-0.010214254
586,-0.01054786
592,-0.25821078
593,-0.26031762
595,-0.22423449
599,-0.03136622
601,0.49506658
602,0.0056438316
607,0.49737063
608,0.49437055
609,-0.00890808
620,0.50020254
621,0.4912361
626,33.11936
627,-0.041031692
628,0.0039519193
631,-0.05410085
645,0.4877815
646,35.187824
648,0.5035369000000001
