Id,Value
1,-0.07100054
6,0.5078403
9,0.49013126
12,0.47949259999999994
13,29.436169
15,-0.0058223065
26,0.008922368
29,-0.030477618999999997
37,0.0073822513
40,0.0741685
49,37.133972
50,0.11021866
51,0.54579747
54,-0.021723918999999998
73,0.009791099499999999
75,-0.043316487
76,-0.6875960999999999
82,48.06159
84,-0.018658027
85,0.03063219
87,0.5043894
90,0.022250443999999998
97,0.20840895
98,0.5510349
102,0.50753474
110,0.0034503117
113,0.03923726
115,-0.0030316245000000003
118,0.017586477
120,0.5864951999999999
128,-0.06907269
129,-0.024588946
134,37.589596
137,-0.037659686
141,0.48109505
146,0.46127802
157,0.51208955
163,0.5044155
165,-0.06827645
173,0.026810173
178,-0.24315487
182,0.06458436
184,0.54438853
185,0.01984079
186,-0.004536103499999999
189,-0.054133877000000004
198,0.0058929604
209,-0.047115613
210,-0.06836754
211,0.0039306693
224,-0.0383462
227,31.726285999999998
230,-0.0063218735
233,0.46592385
235,0.10050282
236,-0.02542628
246,0.50863874
249,0.50507987
250,0.01917335
260,0.018260676
262,-0.015105121
263,0.047758065
282,-0.021878209
292,45.936756
295,-0.0049952418
296,0.5422482
297,0.57162243
305,0.49409434
308,0.5430484999999999
310,0.5260463000000001
319,0.48509090000000005
322,-0.0008248611999999999
324,0.5030989
327,-0.040151194
330,-0.0024269129999999997
332,-0.02944759
337,35.7143
338,0.5071984
340,0.0048459135
344,0.04860812
346,0.49319354
348,0.021267787000000003
352,0.47504824
360,0.63967586
365,0.6205938
367,-0.058570187999999995
368,0.48112231
371,-0.023489766000000002
378,-0.053146016
380,-0.017388893
387,34.553596
395,0.47272432
397,0.6121147
399,0.5048297
403,-0.01816544
404,-0.013271041
407,-0.08858300000000001
424,0.0035593770000000003
429,0.5790065999999999
430,-0.1269238
431,0.5190783
435,0.51704496
438,-0.008837061
439,35.548557
441,-0.034261424
447,0.0022641644
451,-0.019330736
452,-0.018220155
458,0.008754831
462,0.49888825
473,-0.12725572
474,0.5272843
478,0.5432984000000001
483,0.50133455
490,-0.08537103
493,0.012258268000000001
502,0.56141174
507,-0.009958166999999999
510,36.743332
511,-0.008156752
518,-0.040316947
522,0.5103221
527,0.498745
530,0.058176099999999994
550,-0.012897513999999999
555,0.51273715
556,-0.08043734
559,0.5072292
568,0.5170637
570,-0.023142431
575,0.50031143
581,-0.020748047
586,-0.029158592
592,-0.008495517
593,-0.005576234300000001
595,-0.024554845
599,-0.051720187
601,0.5506109
602,0.019648084
607,0.48385394
608,0.5486430999999999
609,-0.029541684
620,0.47598487
621,0.5521598000000001
626,33.017033000000005
627,-0.120269634
628,-0.017777313
631,-0.017330073
645,0.48309764
646,36.891009999999994
648,0.5053949000000001
651,0.018607434
656,0.50478756
667,0.50553906
673,-0.09700321
676,0.015838513000000002
684,0.51982796
690,35.91598
691,-0.055398908
692,0.524145
693,-0.06607173
704,-0.0625807
710,0.04415611
717,0.028120477
719,0.46047953
721,-0.002377434
722,-0.030415007999999997
724,0.48547609999999997
726,-0.03888913
731,-0.0031182263
732,0.59325325
733,-0.005866624399999999
734,-0.09064521
743,0.50518775
747,0.5683953
756,0.5523755
757,0.57388926
758,0.6399243
764,-0.04938403
767,0.46791542
768,-0.040214792
772,-0.4004552
776,0.5016662000000001
779,0.533814
786,-0.0227235
787,40.34174
791,-0.041693356
795,0.6594526999999999
804,-0.06752615
812,0.49697343
821,0.476767
845,0.007280950400000001
846,0.5017785
849,40.88707
850,0.4949777
856,-0.06847585
857,0.019508326
858,-0.008400073000000001
859,0.53558075
869,-0.061744525999999994
870,0.45729142
871,0.08851828
872,0.5028076
881,30.808659999999996
883,0.45268136
885,41.392406
886,-0.007210362
887,42.722409999999996
888,0.47257730000000003
889,0.55089796
890,0.5231781
892,58.267033
893,0.6335206
900,0.5027759
904,0.47281049999999997
905,-0.09282939999999999
911,0.58381844
913,-0.03269298
918,0.012786442
921,-0.041302845
922,0.4929577
933,0.022853255
934,-0.0015896447
938,36.460476
940,0.5053335999999999
941,-0.15974884
947,0.009685133
951,-0.052684218
959,-0.022004653
960,0.5693249
964,0.45701579999999997
978,-0.033930153
979,-0.037636377
983,0.62074554
986,34.590733
988,0.011872797
991,-0.06283644
997,-0.032752592000000004
1011,-0.057030525
1012,-0.03968651
1013,0.5433041999999999
1019,-0.0497685
1020,0.5008222
1027,57.02304
1036,-0.33882436
1041,0.007134564
1049,30.71355
1053,-0.027595168
1055,37.99172
1065,-0.018039107
1068,37.444973
1070,0.5450537
1081,0.04755245
1082,-0.02415299
1101,33.40488
1106,-0.018201862
1107,0.5052189
1110,-0.0036408044000000002
1111,0.49194357
1115,0.49996179999999996
1122,0.5314641999999999
1127,-0.37295154
1133,0.009141020500000001
1138,0.60027814
1145,0.505814
1152,-0.067284904
1154,0.008566653
1163,0.0023430176
1165,0.019627956999999998
1166,-0.061730444
1167,-0.007193871
1175,0.59262884
1179,0.5068513
1180,0.5149975999999999
1183,-0.038987514
1184,-0.070226565
1187,0.07542091599999999
1200,0.47844645
1205,0.53253365
1210,-0.009487314
1213,34.172934999999995
1218,0.4690492
1222,-0.005529846999999999
1225,-0.035565704
1226,0.50520146
1232,0.61668754
1233,0.1751816
1235,-0.06334958
1245,0.021659572000000002
1246,0.00082032103
1252,0.5064522
1255,0.56824505
1261,-0.03104127
1264,0.0031152628000000004
1274,0.631727
1276,41.69835
1290,0.51886165
1306,-0.0053679272999999994
1308,0.017522408
1315,-0.046369657
1319,-0.005624476999999999
1320,0.59196675
1327,0.5591891
1336,-0.004779093
1338,0.4886177
1343,0.5394206
1344,0.5505194
1351,34.043224
1357,0.52278394
1358,34.297959999999996
1359,0.5131582
1368,0.48845756
1373,-0.012024683999999999
1378,0.04454182
1380,0.57354367
1383,0.59652793
1390,0.01919255
1391,0.014974853
1394,0.61987877
1395,-0.024345936000000002
1397,0.5114248
1410,0.07587357
1416,36.05975
1422,0.50374126
1429,0.008716932
1431,0.028831925
1433,0.48927295
1435,0.5961559000000001
1442,-0.02469167
1444,0.48677079999999995
1445,-0.07298696
1451,0.020748008000000002
1458,-0.009869296
1460,0.61688626
1464,0.6661303000000001
1465,0.5619705
1469,0.5716747
1470,0.47349040000000003
1473,51.096786
1476,36.121784000000005
1480,-0.011578928999999998
1489,0.6133685999999999
1498,-0.7540621999999999
1501,0.5158467999999999
1506,0.50923645
1507,0.021176103999999998
1509,0.074732065
1511,0.47827446
1514,0.61243635
1515,0.47662723
1517,30.515999
1518,-0.024519793999999998
1519,0.025992017000000003
1524,-0.027835082
1527,0.08750066
1529,-0.24849437
1538,-0.05819505
1539,-0.016131869
1540,0.54921496
1546,0.6119558
1556,0.024884649
1562,0.04422924
1563,0.5109134
1568,0.5527221999999999
1569,0.011504096
1572,-0.41208813
1577,0.033119763999999996
1578,-0.020700192
1580,-0.37902358
1584,-0.051194715999999994
1585,0.54489696
1591,0.29675359999999995
1594,0.020524304
1595,-0.06134607
1596,0.50337714
1600,0.41976294
1601,0.4965193
1608,0.03936601
1611,0.07576617599999999
1624,42.856087
1629,-0.076759145
1633,-0.019265335
1636,0.048736706
1639,-0.02191258
1644,0.5529151999999999
1645,0.47501212
1646,0.49305892
1648,0.5063064
1657,-0.075346105
1660,0.05465402
1661,-0.004363762
1671,-0.024842784
1673,35.543125
